"MainFoodGroupDesc","MainFoodGroupCode"
"WHITE BREAD",2
"REDUCED FAT SPREAD",21
"SEMI SKIMMED MILK",11
"SUGAR CONFECTIONERY",43
"CRISPS AND SAVOURY SNACKS",42
"BACON AND HAM",22
"TEA COFFEE AND WATER",51
"FRUIT",40
"SOFT DRINKS NOT LOW CALORIE",57
"CHIPS FRIED & ROAST POTATOES AND POTATO PRODUCTS",38
"COATED CHICKEN",26
"MISCELLANEOUS",50
"SAUSAGES",30
"OTHER BREAKFAST CEREALS",6
"BEEF VEAL AND DISHES",23
"OTHER MARGARINE FATS AND OILS",20
"VEGETABLES NOT RAW",37
"SOFT DRINKS LOW CALORIE",58
"ICE CREAM",53
"PORK AND DISHES",25
"OTHER POTATOES POTATO SALADS & DISHES",39
"CHICKEN AND TURKEY DISHES",27
"PASTA RICE AND OTHER CEREALS",1
"BISCUITS",7
"CHEESE",14
"SUGARS PRESERVES AND SWEET SPREADS",41
"EGGS AND EGG DISHES",16
"BURGERS AND KEBABS",29
"WHOLE MILK",10
"CHOCOLATE CONFECTIONERY",44
"SALAD AND OTHER RAW VEGETABLES",36
"BUNS CAKES PASTRIES & FRUIT PIES",8
"WHOLEMEAL BREAD",3
"LOW FAT SPREAD",19
"OTHER WHITE FISH SHELLFISH & FISH DISHES",34
"WINE",48
"LAMB AND DISHES",24
"SPIRITS AND LIQUEURS",47
"DIETARY SUPPLEMENTS",54
"OILY FISH",35
"OTHER BREAD",4
"BEER LAGER CIDER & PERRY",49
"OTHER MILK AND CREAM",13
"HIGH FIBRE BREAKFAST CEREALS",5
"YOGURT FROMAGE FRAIS AND DAIRY DESSERTS",15
"WHITE FISH COATED OR FRIED",33
"OTHER MEAT AND MEAT PRODUCTS",32
"MEAT PIES AND PASTRIES",31
"SKIMMED MILK",12
"BROWN GRANARY AND WHEATGERM BREAD",59
"PUFA MARGARINE & OILS",18
"FRUIT JUICE",45
"NUTS AND SEEDS",56
"BUTTER",17
"PUDDINGS",9
"LIVER & DISHES",28
"ARTIFICIAL SWEETENERS",55
"COMMERCIAL TODDLERS FOODS AND DRINKS",52
"1% Fat Milk",60
"SMOOTHIES 100% FRUIT AND/OR JUICE",61
