"Title","RPI: Ave price - Beef: home-killed, best beef mince, per Kg"
"CDID","CZPI"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","Pence"
"Release date","14-02-2024"
"Next release","20 March 2024"
"Important notes",
"1986","263"
"1987","265"
"1988","288"
"1989","326"
"1990","340"
"1991","356"
"1992","342"
"1993","368"
"1994","348"
"1995","344"
"1996","342"
"1997","372"
"1998","391"
"1999","416"
"2000","414"
"2001","422"
"2002","422"
"2003","405"
"2004","426"
"2005","416"
"2006","456"
"2007","481"
"2008","545"
"2009","597"
"2010","602"
"2011","615"
"2012","725"
"2013","797"
"2014","811"
"2015","786"
"2016","741"
"2017","741"
"2018","698"
"2019","671"
"2020","639"
"2021","608"
"2022","703"
"2023","818"
"1986 Q1","260"
"1986 Q2","262"
"1986 Q3","266"
"1986 Q4","264"
"1987 Q1","264"
"1987 Q2","261"
"1987 Q3","263"
"1987 Q4","270"
"1988 Q1","278"
"1988 Q2","286"
"1988 Q3","292"
"1988 Q4","298"
"1989 Q1","309"
"1989 Q2","329"
"1989 Q3","330"
"1989 Q4","334"
"1990 Q1","336"
"1990 Q2","345"
"1990 Q3","338"
"1990 Q4","341"
"1991 Q1","351"
"1991 Q2","357"
"1991 Q3","355"
"1991 Q4","358"
"1992 Q1","346"
"1992 Q2","338"
"1992 Q3","336"
"1992 Q4","348"
"1993 Q1","357"
"1993 Q2","378"
"1993 Q3","378"
"1993 Q4","360"
"1994 Q1","358"
"1994 Q2","351"
"1994 Q3","344"
"1994 Q4","339"
"1995 Q1","338"
"1995 Q2","341"
"1995 Q3","348"
"1995 Q4","349"
"1996 Q1","357"
"1996 Q2","341"
"1996 Q3","342"
"1996 Q4","328"
"1997 Q1","362"
"1997 Q2","375"
"1997 Q3","373"
"1997 Q4","378"
"1998 Q1","393"
"1998 Q2","392"
"1998 Q3","389"
"1998 Q4","391"
"1999 Q1","409"
"1999 Q2","416"
"1999 Q3","420"
"1999 Q4","418"
"2000 Q1","417"
"2000 Q2","411"
"2000 Q3","411"
"2000 Q4","418"
"2001 Q1","424"
"2001 Q2","430"
"2001 Q3","423"
"2001 Q4","411"
"2002 Q1","426"
"2002 Q2","430"
"2002 Q3","418"
"2002 Q4","415"
"2003 Q1","398"
"2003 Q2","403"
"2003 Q3","406"
"2003 Q4","412"
"2004 Q1","430"
"2004 Q2","433"
"2004 Q3","426"
"2004 Q4","415"
"2005 Q1","408"
"2005 Q2","418"
"2005 Q3","419"
"2005 Q4","419"
"2006 Q1","425"
"2006 Q2","439"
"2006 Q3","477"
"2006 Q4","482"
"2007 Q1","482"
"2007 Q2","483"
"2007 Q3","481"
"2007 Q4","478"
"2008 Q1","491"
"2008 Q2","526"
"2008 Q3","578"
"2008 Q4","585"
"2009 Q1","596"
"2009 Q2","597"
"2009 Q3","592"
"2009 Q4","603"
"2010 Q1","597"
"2010 Q2","603"
"2010 Q3","601"
"2010 Q4","605"
"2011 Q1","598"
"2011 Q2","600"
"2011 Q3","612"
"2011 Q4","652"
"2012 Q1","693"
"2012 Q2","722"
"2012 Q3","741"
"2012 Q4","743"
"2013 Q1","770"
"2013 Q2","784"
"2013 Q3","814"
"2013 Q4","822"
"2014 Q1","821"
"2014 Q2","821"
"2014 Q3","793"
"2014 Q4","809"
"2015 Q1","803"
"2015 Q2","784"
"2015 Q3","778"
"2015 Q4","780"
"2016 Q1","761"
"2016 Q2","747"
"2016 Q3","731"
"2016 Q4","726"
"2017 Q1","744"
"2017 Q2","740"
"2017 Q3","740"
"2017 Q4","742"
"2018 Q1","723"
"2018 Q2","705"
"2018 Q3","691"
"2018 Q4","675"
"2019 Q1","678"
"2019 Q2","676"
"2019 Q3","667"
"2019 Q4","661"
"2020 Q1","658"
"2020 Q2","641"
"2020 Q3","641"
"2020 Q4","617"
"2021 Q1","599"
"2021 Q2","597"
"2021 Q3","608"
"2021 Q4","630"
"2022 Q1","663"
"2022 Q2","692"
"2022 Q3","717"
"2022 Q4","740"
"2023 Q1","781"
"2023 Q2","827"
"2023 Q3","837"
"2023 Q4","826"
"1986 JAN","262"
"1986 FEB","260"
"1986 MAR","258"
"1986 APR","260"
"1986 MAY","260"
"1986 JUN","267"
"1986 JUL","264"
"1986 AUG","267"
"1986 SEP","267"
"1986 OCT","267"
"1986 NOV","264"
"1986 DEC","262"
"1987 JAN","264"
"1987 FEB","267"
"1987 MAR","260"
"1987 APR","260"
"1987 MAY","262"
"1987 JUN","262"
"1987 JUL","262"
"1987 AUG","264"
"1987 SEP","264"
"1987 OCT","267"
"1987 NOV","269"
"1987 DEC","275"
"1988 JAN","275"
"1988 FEB","278"
"1988 MAR","280"
"1988 APR","284"
"1988 MAY","286"
"1988 JUN","289"
"1988 JUL","289"
"1988 AUG","293"
"1988 SEP","293"
"1988 OCT","291"
"1988 NOV","300"
"1988 DEC","304"
"1989 JAN","304"
"1989 FEB","313"
"1989 MAR","311"
"1989 APR","328"
"1989 MAY","330"
"1989 JUN","330"
"1989 JUL","330"
"1989 AUG","326"
"1989 SEP","333"
"1989 OCT","333"
"1989 NOV","333"
"1989 DEC","337"
"1990 JAN","335"
"1990 FEB","335"
"1990 MAR","337"
"1990 APR","348"
"1990 MAY","350"
"1990 JUN","337"
"1990 JUL","339"
"1990 AUG","333"
"1990 SEP","341"
"1990 OCT","339"
"1990 NOV","341"
"1990 DEC","344"
"1991 JAN","348"
"1991 FEB","355"
"1991 MAR","350"
"1991 APR","352"
"1991 MAY","363"
"1991 JUN","357"
"1991 JUL","361"
"1991 AUG","355"
"1991 SEP","350"
"1991 OCT","357"
"1991 NOV","357"
"1991 DEC","361"
"1992 JAN","352"
"1992 FEB","341"
"1992 MAR","344"
"1992 APR","341"
"1992 MAY","333"
"1992 JUN","341"
"1992 JUL","335"
"1992 AUG","335"
"1992 SEP","337"
"1992 OCT","341"
"1992 NOV","348"
"1992 DEC","355"
"1993 JAN","352"
"1993 FEB","355"
"1993 MAR","363"
"1993 APR","375"
"1993 MAY","377"
"1993 JUN","381"
"1993 JUL","381"
"1993 AUG","375"
"1993 SEP","379"
"1993 OCT","363"
"1993 NOV","359"
"1993 DEC","357"
"1994 JAN","359"
"1994 FEB","357"
"1994 MAR","357"
"1994 APR","350"
"1994 MAY","352"
"1994 JUN","350"
"1994 JUL","348"
"1994 AUG","348"
"1994 SEP","337"
"1994 OCT","339"
"1994 NOV","339"
"1994 DEC","339"
"1995 JAN","339"
"1995 FEB","337"
"1995 MAR","339"
"1995 APR","341"
"1995 MAY","339"
"1995 JUN","344"
"1995 JUL","341"
"1995 AUG","350"
"1995 SEP","352"
"1995 OCT","355"
"1995 NOV","346"
"1995 DEC","346"
"1996 JAN","357"
"1996 FEB","356"
"1996 MAR","357"
"1996 APR","338"
"1996 MAY","344"
"1996 JUN","342"
"1996 JUL","342"
"1996 AUG","342"
"1996 SEP","341"
"1996 OCT","329"
"1996 NOV","323"
"1996 DEC","332"
"1997 JAN","330"
"1997 FEB","378"
"1997 MAR","379"
"1997 APR","375"
"1997 MAY","377"
"1997 JUN","372"
"1997 JUL","373"
"1997 AUG","373"
"1997 SEP","373"
"1997 OCT","377"
"1997 NOV","382"
"1997 DEC","375"
"1998 JAN","387"
"1998 FEB","398"
"1998 MAR","395"
"1998 APR","395"
"1998 MAY","392"
"1998 JUN","388"
"1998 JUL","391"
"1998 AUG","392"
"1998 SEP","385"
"1998 OCT","395"
"1998 NOV","393"
"1998 DEC","384"
"1999 JAN","394"
"1999 FEB","415"
"1999 MAR","418"
"1999 APR","421"
"1999 MAY","418"
"1999 JUN","409"
"1999 JUL","420"
"1999 AUG","424"
"1999 SEP","416"
"1999 OCT","415"
"1999 NOV","419"
"1999 DEC","421"
"2000 JAN","415"
"2000 FEB","430"
"2000 MAR","406"
"2000 APR","415"
"2000 MAY","408"
"2000 JUN","411"
"2000 JUL","415"
"2000 AUG","408"
"2000 SEP","410"
"2000 OCT","425"
"2000 NOV","418"
"2000 DEC","411"
"2001 JAN","416"
"2001 FEB","416"
"2001 MAR","441"
"2001 APR","433"
"2001 MAY","432"
"2001 JUN","424"
"2001 JUL","416"
"2001 AUG","426"
"2001 SEP","428"
"2001 OCT","414"
"2001 NOV","402"
"2001 DEC","417"
"2002 JAN","411"
"2002 FEB","426"
"2002 MAR","440"
"2002 APR","420"
"2002 MAY","448"
"2002 JUN","422"
"2002 JUL","418"
"2002 AUG","423"
"2002 SEP","414"
"2002 OCT","412"
"2002 NOV","426"
"2002 DEC","406"
"2003 JAN","402"
"2003 FEB","392"
"2003 MAR","400"
"2003 APR","403"
"2003 MAY","401"
"2003 JUN","405"
"2003 JUL","409"
"2003 AUG","405"
"2003 SEP","404"
"2003 OCT","412"
"2003 NOV","409"
"2003 DEC","416"
"2004 JAN","407"
"2004 FEB","439"
"2004 MAR","444"
"2004 APR","434"
"2004 MAY","439"
"2004 JUN","425"
"2004 JUL","419"
"2004 AUG","428"
"2004 SEP","431"
"2004 OCT","427"
"2004 NOV","411"
"2004 DEC","406"
"2005 JAN","409"
"2005 FEB","403"
"2005 MAR","413"
"2005 APR","410"
"2005 MAY","415"
"2005 JUN","428"
"2005 JUL","423"
"2005 AUG","416"
"2005 SEP","418"
"2005 OCT","421"
"2005 NOV","422"
"2005 DEC","415"
"2006 JAN","422"
"2006 FEB","429"
"2006 MAR","425"
"2006 APR","436"
"2006 MAY","443"
"2006 JUN","439"
"2006 JUL","474"
"2006 AUG","478"
"2006 SEP","480"
"2006 OCT","481"
"2006 NOV","476"
"2006 DEC","488"
"2007 JAN","482"
"2007 FEB","481"
"2007 MAR","483"
"2007 APR","486"
"2007 MAY","482"
"2007 JUN","481"
"2007 JUL","484"
"2007 AUG","485"
"2007 SEP","473"
"2007 OCT","475"
"2007 NOV","482"
"2007 DEC","478"
"2008 JAN","484"
"2008 FEB","491"
"2008 MAR","498"
"2008 APR","505"
"2008 MAY","521"
"2008 JUN","551"
"2008 JUL","577"
"2008 AUG","580"
"2008 SEP","576"
"2008 OCT","577"
"2008 NOV","582"
"2008 DEC","595"
"2009 JAN","589"
"2009 FEB","601"
"2009 MAR","598"
"2009 APR","599"
"2009 MAY","593"
"2009 JUN","600"
"2009 JUL","593"
"2009 AUG","596"
"2009 SEP","588"
"2009 OCT","602"
"2009 NOV","601"
"2009 DEC","605"
"2010 JAN","595"
"2010 FEB","595"
"2010 MAR","601"
"2010 APR","595"
"2010 MAY","603"
"2010 JUN","612"
"2010 JUL","599"
"2010 AUG","596"
"2010 SEP","609"
"2010 OCT","608"
"2010 NOV","604"
"2010 DEC","602"
"2011 JAN","604"
"2011 FEB","594"
"2011 MAR","597"
"2011 APR","595"
"2011 MAY","599"
"2011 JUN","606"
"2011 JUL","606"
"2011 AUG","604"
"2011 SEP","625"
"2011 OCT","629"
"2011 NOV","644"
"2011 DEC","682"
"2012 JAN","690"
"2012 FEB","699"
"2012 MAR","691"
"2012 APR","697"
"2012 MAY","741"
"2012 JUN","728"
"2012 JUL","742"
"2012 AUG","740"
"2012 SEP","742"
"2012 OCT","747"
"2012 NOV","738"
"2012 DEC","745"
"2013 JAN","767"
"2013 FEB","779"
"2013 MAR","764"
"2013 APR","779"
"2013 MAY","779"
"2013 JUN","795"
"2013 JUL","805"
"2013 AUG","813"
"2013 SEP","823"
"2013 OCT","817"
"2013 NOV","829"
"2013 DEC","819"
"2014 JAN","807"
"2014 FEB","827"
"2014 MAR","828"
"2014 APR","829"
"2014 MAY","818"
"2014 JUN","815"
"2014 JUL","796"
"2014 AUG","799"
"2014 SEP","783"
"2014 OCT","805"
"2014 NOV","804"
"2014 DEC","818"
"2015 JAN","804"
"2015 FEB","810"
"2015 MAR","796"
"2015 APR","784"
"2015 MAY","788"
"2015 JUN","779"
"2015 JUL","779"
"2015 AUG","779"
"2015 SEP","775"
"2015 OCT","775"
"2015 NOV","785"
"2015 DEC","779"
"2016 JAN","761"
"2016 FEB","781"
"2016 MAR","742"
"2016 APR","748"
"2016 MAY","747"
"2016 JUN","745"
"2016 JUL","733"
"2016 AUG","739"
"2016 SEP","720"
"2016 OCT","730"
"2016 NOV","734"
"2016 DEC","714"
"2017 JAN","741"
"2017 FEB","744"
"2017 MAR","746"
"2017 APR","741"
"2017 MAY","732"
"2017 JUN","746"
"2017 JUL","737"
"2017 AUG","738"
"2017 SEP","744"
"2017 OCT","749"
"2017 NOV","737"
"2017 DEC","741"
"2018 JAN","744"
"2018 FEB","714"
"2018 MAR","711"
"2018 APR","707"
"2018 MAY","707"
"2018 JUN","701"
"2018 JUL","695"
"2018 AUG","693"
"2018 SEP","685"
"2018 OCT","683"
"2018 NOV","670"
"2018 DEC","671"
"2019 JAN","680"
"2019 FEB","687"
"2019 MAR","668"
"2019 APR","674"
"2019 MAY","678"
"2019 JUN","676"
"2019 JUL","671"
"2019 AUG","675"
"2019 SEP","655"
"2019 OCT","655"
"2019 NOV","663"
"2019 DEC","666"
"2020 JAN","663"
"2020 FEB","655"
"2020 MAR","656"
"2020 APR","639"
"2020 MAY","637"
"2020 JUN","646"
"2020 JUL","640"
"2020 AUG","657"
"2020 SEP","626"
"2020 OCT","634"
"2020 NOV","609"
"2020 DEC","609"
"2021 JAN","610"
"2021 FEB","586"
"2021 MAR","600"
"2021 APR","587"
"2021 MAY","603"
"2021 JUN","602"
"2021 JUL","600"
"2021 AUG","610"
"2021 SEP","614"
"2021 OCT","616"
"2021 NOV","634"
"2021 DEC","639"
"2022 JAN","642"
"2022 FEB","668"
"2022 MAR","678"
"2022 APR","687"
"2022 MAY","692"
"2022 JUN","697"
"2022 JUL","705"
"2022 AUG","718"
"2022 SEP","727"
"2022 OCT","736"
"2022 NOV","737"
"2022 DEC","748"
"2023 JAN","744"
"2023 FEB","786"
"2023 MAR","812"
"2023 APR","806"
"2023 MAY","840"
"2023 JUN","834"
"2023 JUL","836"
"2023 AUG","833"
"2023 SEP","842"
"2023 OCT","830"
"2023 NOV","825"
"2023 DEC","823"
"2024 JAN","827"
